Geopath ID,Latitude,Longitude,Zipcode
30661893,41.931616,-87.6488,60614
531435,41.953664,-87.649811,60613
30494337,41.932309,-87.668597,60657
541409,41.939478,-87.678191,60657
30454069,41.92171,-87.664276,60614
14910698,41.879159,-87.64324,60661
30761170,41.95405,-87.7127,60659
30761166,41.86649,-87.66619,60608
47976,41.959588,-87.743136,60641
30761158,41.914309,-87.746152,60639
545090,42.013093,-87.921658,60019
48071,41.873473,-87.71107,60624
596468,41.839304,-87.631875,60616
48126,41.814696,-87.752309,60638
48215,41.936473,-87.707441,60618
30664561,42.020699,-87.950781,60124
50423388,41.87164,-87.862119,60104
48036,41.846849,-87.65198,60608
50629705,42.14619505,-87.83569226,60063
48060,41.761285,-87.901694,60525
48015,41.768055,-87.624641,60621
48056,41.776415,-87.630612,60621
48306,41.753313,-87.587455,60619
48070,41.876333,-87.696283,60629
577504,41.685128,-88.065451,60440
14910712,41.677039,-87.603495,60628
30912093,41.63393,-87.66507,60469
48253,41.622737,-87.682638,60469
30902394,41.66792,-87.66194,60406
48272,41.795211,-87.826667,60501
31054000,41.64578226,-87.65990733,60827
30665537,41.610782,-87.579019,60409
14920965,41.590171,-87.722805,60452
48085,41.872757,-87.757783,60644
48012,41.96109,-87.741589,60641
31031263,42.06605623,-88.12950458,60195
48268,41.812889,-87.758041,60638
48049,41.816255,-87.632165,60609
48001,41.696663,-88.04442,60440
48016,41.800468,-88.239588,60502
50429614,41.800628,-88.237104,60502
47973,41.87045,-87.866257,60153
48064,41.577203,-87.549856,60438
30912122,41.517667,-88.190995,60431
47979,41.905222,-87.974302,60126
47998,41.835785,-88.005477,60148
30591688,42.020659,-87.950932,60124
30902396,41.60814,-87.68099,60428
30748820,41.940116,-87.892706,60132
50423386,41.936988,-87.912007,60132
48043,41.659305,-87.66148,60827
49577,41.741547,-87.626583,60620
48008,41.859188,-88.038313,60137
30912117,41.51137,-88.08928,60436
48164,41.676298,-87.773045,60482
49450,41.704543,-87.789377,60415
48118,41.579048,-87.61241,60476
47969,42.146184,-87.835688,60063
30640255,41.511699,-88.079355,60432
48088,41.690356,-87.601451,60628
48057,41.878277,-87.960953,60126
30904424,41.644139,-87.659845,60827
48144,41.578621,-87.55386,60438
48209,41.940108,-87.892889,60132
30441070,41.913609,-87.919268,60164
48234,41.679523,-88.205001,60564
48104,41.907623,-88.152429,60188
49389,41.610513,-87.696621,60469
577543,41.751336,-87.867612,60480
617484,41.725872,-87.810668,60457
30908383,41.60814,-87.68099,60428
48157,41.668282,-87.757094,60482
47985,41.578772,-87.642102,60429
30972793,41.571178,-87.732805,60478
30644955,42.00945,-87.86973,60018
48009,41.859188,-88.038324,60137
30737949,41.539797,-87.850233,60423
50629704,41.539772,-87.850228,60423
50277,41.625725,-87.031385,46304
49181,41.601284,-87.158017,46868
50288,41.612928,-87.08851,46304
49167,41.599535,-87.193218,46368
49233,41.570248,-87.379375,46408
49624,41.569084,-87.365084,46408
31052941,41.44547979,-87.32094533,46307
49513,41.516197,-87.320216,46409
49000,41.520788,-87.317576,46342
30661935,41.550667,-87.152481,46385
48858,41.573619,-87.274066,46405
31054319,41.42397295,-87.32238371,46307
49236,41.57032,-87.386982,46408
31054150,41.5673729,-87.34863598,46407
31054090,41.47045515,-87.22333295,46307
30859694,41.45721,-87.0581,46483
31054091,41.57819607,-87.25464164,46405
31054074,41.56660594,-87.47351421,46322
48871,41.550876,-87.238057,46342
30755253,41.45721,-87.0581,46483
30755254,41.46199,-87.09677,46385
31053938,41.5043678,-87.53247653,46311
31053918,41.49635861,-87.52794345,46311
49464,41.543015,-87.311686,46342
30647228,41.559,-87.432,46319
30886729,41.492278,-87.115654,46385
31054049,41.47144696,-87.37200459,46308
31054046,41.59914538,-87.17454727,46868
31054156,41.4715184,-87.29416071,
31054066,41.4714478,-87.37196452,46308
31054071,41.56659789,-87.47350611,46322
48929,41.596026,-87.04549,46304
31054148,41.47050983,-87.32893958,46410
30472427,41.4811,-87.4272,46307
14934250,41.490429,-87.467308,46307
31054053,41.53138928,-87.47085688,46322
48887,41.491384,-87.488347,46311
31053978,41.50967671,-87.47166799,46375
31054069,41.51806332,-87.47092553,46375
31054042,41.5313744,-87.47085869,46322
31054096,41.51804776,-87.47092496,46375
49359,41.471376,-87.470672,46373
30806787,41.48619,-87.47051,46375
49581,41.47138,-87.470677,46373
